global_radiation	diffuse_radiation	radiation	dayOfYear	hour
0	0	0	170	23
0	0	0	170	23.166666666666668
0	0	0	170	23.333333333333332
0	0	0	170	23.5
0	0	0	170	23.666666666666668
0	0	0	170	23.833333333333332
0	0	0	171	0
0	0	0	171	0.16666666666666666
0	0	0	171	0.3333333333333333
0	0	0	171	0.5
0	0	0	171	0.6666666666666666
0	0	0	171	0.8333333333333334
0	0	0	171	1
0	0	0	171	1.1666666666666667
0	0	0	171	1.3333333333333333
0	0	0	171	1.5
0	0	0	171	1.6666666666666665
0	0	0	171	1.8333333333333335
0	0	0	171	2
0	0	0	171	2.1666666666666665
0	0	0	171	2.3333333333333335
0	0	0	171	2.5
0	0	0	171	2.6666666666666665
0	0	0	171	2.8333333333333335
0	0	0	171	3
0	0	0	171	3.1666666666666665
0	0	0	171	3.3333333333333335
0	0	0	171	3.5
0	0	0	171	3.6666666666666665
0.1	0.1	0	171	3.8333333333333335
0.3	0.3	0	171	4
0.5	0.5	0	171	4.166666666666667
1	0.9	0.09999999999999998	171	4.333333333333333
1	0.9	0.09999999999999998	171	4.5
1	0.9	0.09999999999999998	171	4.666666666666667
1.4	1.3	0.09999999999999987	171	4.833333333333333
2.5	2.3	0.20000000000000018	171	5
3.3	3	0.2999999999999998	171	5.166666666666667
3.6	3.1	0.5	171	5.333333333333333
5	3.5	1.5	171	5.5
7.8	4.2	3.5999999999999996	171	5.666666666666667
10.6	4.9	5.699999999999999	171	5.833333333333333
11.6	6.2	5.3999999999999995	171	6
12.8	8	4.800000000000001	171	6.166666666666667
14	8.2	5.800000000000001	171	6.333333333333333
6.7	5.8	0.9000000000000004	171	6.5
12.3	10.7	1.6000000000000014	171	6.666666666666667
12	9.9	2.0999999999999996	171	6.833333333333333
15.2	10.4	4.799999999999999	171	7
9	7.7	1.2999999999999998	171	7.166666666666667
14.3	12.2	2.1000000000000014	171	7.333333333333333
20.5	15.2	5.300000000000001	171	7.5
15.2	9.6	5.6	171	7.666666666666667
29.2	5.2	24	171	7.833333333333333
31.4	5.4	26	171	8
32.2	6.5	25.700000000000003	171	8.166666666666666
34.2	9.9	24.300000000000004	171	8.333333333333334
34.6	10.6	24	171	8.5
28.6	9.7	18.900000000000002	171	8.666666666666666
40.5	12.9	27.6	171	8.833333333333334
14.6	11.4	3.1999999999999993	171	9
23.8	14.5	9.3	171	9.166666666666666
14.1	8.9	5.199999999999999	171	9.333333333333334
27.2	7.4	19.799999999999997	171	9.5
48.1	11.2	36.900000000000006	171	9.666666666666666
33	18.4	14.600000000000001	171	9.833333333333334
38.9	8.9	30	171	10
35.6	15.7	19.900000000000002	171	10.166666666666666
18.9	16.1	2.799999999999997	171	10.333333333333334
11	10	1	171	10.5
10.3	9.1	1.200000000000001	171	10.666666666666666
7.2	6.3	0.9000000000000004	171	10.833333333333334
13.1	12	1.0999999999999996	171	11
28	19.1	8.899999999999999	171	11.166666666666666
49.1	10.7	38.400000000000006	171	11.333333333333334
56.7	10.7	46	171	11.5
29.2	15.7	13.5	171	11.666666666666666
13.5	12	1.5	171	11.833333333333334
37	13.4	23.6	171	12
46.7	13.2	33.5	171	12.166666666666666
34.6	16.7	17.900000000000002	171	12.333333333333334
56.2	14.7	41.5	171	12.5
41.6	19.4	22.200000000000003	171	12.666666666666666
21.6	17.5	4.100000000000001	171	12.833333333333334
18.2	12.9	5.299999999999999	171	13
29.9	19	10.899999999999999	171	13.166666666666666
12.9	11.6	1.3000000000000007	171	13.333333333333334
28	19.1	8.899999999999999	171	13.5
21.1	18.5	2.6000000000000014	171	13.666666666666666
19.3	16.7	2.6000000000000014	171	13.833333333333334
33	14.1	18.9	171	14
14.4	11.4	3	171	14.166666666666666
37.1	15.6	21.5	171	14.333333333333334
34.9	15.9	19	171	14.5
14.2	12.6	1.5999999999999996	171	14.666666666666666
41.7	18.7	23.000000000000004	171	14.833333333333334
10.9	9.4	1.5	171	15
25.6	15	10.600000000000001	171	15.166666666666666
15	12.5	2.5	171	15.333333333333334
10.6	9.5	1.0999999999999996	171	15.5
12.6	11.2	1.4000000000000004	171	15.666666666666666
13.8	12.3	1.5	171	15.833333333333334
12.3	10.5	1.8000000000000007	171	16
13.6	12	1.5999999999999996	171	16.166666666666668
9.8	8.5	1.3000000000000007	171	16.333333333333332
